piece,length_mm,width_mm,thickness_mm
door_1,1175,120,23.0
door_2,1175,120,23.0
door_3,1175,120,23.0
door_4,1175,120,23.0
door_5,1175,120,23.0
door_6,1175,120,23.0
door_7,1175,120,23.0
door_8,1175,110,23.0
back_wall_1,1050,120,23.0
back_wall_2,1050,120,23.0
back_wall_3,1050,120,23.0
back_wall_4,1050,120,23.0
back_wall_5,1050,120,23.0
back_wall_6,1050,120,23.0
back_wall_7,1050,120,23.0
back_wall_8,1050,20.0,23.0
left_wall_1,1175.0,120,23.0
left_wall_2,1156.4,120,23.0
left_wall_3,1137.7,120,23.0
left_wall_4,1119.1,120,23.0
left_wall_5,1100.5,120,23.0
left_wall_6,1081.8,120,23.0
left_wall_7,1063.2,85.0,23.0
right_wall_1,1175.0,120,23.0
right_wall_2,1156.4,120,23.0
right_wall_3,1137.7,120,23.0
right_wall_4,1119.1,120,23.0
right_wall_5,1100.5,120,23.0
right_wall_6,1081.8,120,23.0
right_wall_7,1063.2,85.0,23.0
floor_1,782.0,120,23.0
floor_2,782.0,120,23.0
floor_3,782.0,120,23.0
floor_4,782.0,120,23.0
floor_5,782.0,120,23.0
floor_6,782.0,120,23.0
floor_7,782.0,94.0,23.0
seat_top_1,500,120,23.0
seat_top_2,500,120,23.0
seat_top_3,500,120,23.0
seat_top_4,500,120,23.0
seat_top_5,500,120,23.0
seat_top_6,500,120,23.0
seat_top_7,500,94.0,23.0
seat_front_1,397.0,120,23.0
seat_front_2,397.0,120,23.0
seat_front_3,397.0,120,23.0
seat_front_4,397.0,120,23.0
seat_front_5,397.0,120,23.0
seat_front_6,397.0,120,23.0
seat_front_7,397.0,94.0,23.0
